category,description,carbohydrate,protein,fat_total_lipid,kilocalories
BUTTER,"BUTTER,WITH SALT",0.06,0.85,81.11,717
BUTTER,"BUTTER,WHIPPED,WITH SALT",0.06,0.85,81.11,717
BUTTER OIL,"BUTTER OIL,ANHYDROUS",0.0,0.28,99.48,876
CHEESE,"CHEESE,BLUE",2.34,21.4,28.74,353
CHEESE,"CHEESE,BRICK",2.79,23.24,29.68,371
CHEESE,"CHEESE,BRIE",0.45,20.75,27.68,334
CHEESE,"CHEESE,CAMEMBERT",0.46,19.8,24.26,300
CHEESE,"CHEESE,CARAWAY",3.06,25.18,29.2,376
CHEESE,"CHEESE,CHEDDAR",1.28,24.9,33.14,403
CHEESE,"CHEESE,CHESHIRE",4.78,23.37,30.6,387
CHEESE,"CHEESE,COLBY",2.57,23.76,32.11,394
CHEESE,"CHEESE,COTTAGE,CRMD,LRG OR SML CURD",3.38,11.12,4.3,98
CHEESE,"CHEESE,COTTAGE,CRMD,W/FRUIT",4.61,10.69,3.85,97
CHEESE,"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD",6.66,10.34,0.29,72
CHEESE,"CHEESE,COTTAGE,LOWFAT,2% MILKFAT",3.66,11.83,2.45,86
CHEESE,"CHEESE,COTTAGE,LOWFAT,1% MILKFAT",2.72,12.39,1.02,72
CHEESE,"CHEESE,CREAM",4.07,5.93,34.24,342
CHEESE,"CHEESE,EDAM",1.43,24.99,27.8,357
CHEESE,"CHEESE,FETA",4.09,14.21,21.28,264
CHEESE,"CHEESE,FONTINA",1.55,25.6,31.14,389
CHEESE,"CHEESE,GJETOST",42.65,9.65,29.51,466
CHEESE,"CHEESE,GOUDA",2.22,24.94,27.44,356
CHEESE,"CHEESE,GRUYERE",0.36,29.81,32.34,413
CHEESE,"CHEESE,LIMBURGER",0.49,20.05,27.25,327
CHEESE,"CHEESE,MONTEREY",0.68,24.48,30.28,373
CHEESE,"CHEESE,MOZZARELLA,WHL MILK",2.19,22.17,22.35,300
CHEESE,"CHEESE,MOZZARELLA,WHL MILK,LO MOIST",2.47,21.6,24.64,318
CHEESE,"CHEESE,MOZZARELLA,PART SKIM MILK",2.77,24.26,15.92,254
CHEESE,"CHEESE,MOZZARELLA,PART SKIM MILK,LO MOIST",3.83,25.96,20.03,302
CHEESE,"CHEESE,MUENSTER",1.12,23.41,30.04,368
CHEESE,"CHEESE,NEUFCHATEL",3.59,9.15,22.78,253
CHEESE,"CHEESE,PARMESAN,GRATED",4.06,38.46,28.61,431
CHEESE,"CHEESE,PARMESAN,HARD",3.22,35.75,25.83,392
CHEESE,"CHEESE,PORT DE SALUT",0.57,23.78,28.2,352
CHEESE,"CHEESE,PROVOLONE",2.14,25.58,26.62,351
CHEESE,"CHEESE,RICOTTA,WHOLE MILK",3.04,11.26,12.98,174
CHEESE,"CHEESE,RICOTTA,PART SKIM MILK",5.14,11.39,7.91,138
CHEESE,"CHEESE,ROMANO",3.63,31.8,26.94,387
CHEESE,"CHEESE,ROQUEFORT",2.0,21.54,30.64,369
CHEESE,"CHEESE,SWISS",5.38,26.93,27.8,380
CHEESE,"CHEESE,TILSIT",1.88,24.41,25.98,340
