member_id,amount_due,due_date,payment_date,is_paid,fine_amount
1,188.03,2024-01-22,2024-02-04,True,0.0
2,62.92,2024-06-28,2024-07-22,True,0.0
2,194.56,2024-09-21,2024-09-22,True,0.0
2,120.89,2024-01-04,2024-01-31,True,0.0
3,78.63,2023-12-15,2023-12-19,True,0.0
3,115.91,2024-02-11,2024-03-06,True,0.0
3,159.26,2024-01-06,,False,18.69
3,125.55,2024-03-14,,False,7.62
4,93.84,2024-05-26,,False,11.33
5,164.85,2024-05-20,2024-05-30,True,0.0
5,53.71,2024-05-13,2024-05-17,True,0.0
6,119.67,2024-08-05,,False,17.28
6,127.85,2024-07-01,,False,8.51
6,107.92,2024-10-31,2024-11-11,True,0.0
6,131.41,2024-11-30,2024-12-20,True,0.0
7,150.74,2024-02-15,,False,33.15
7,126.83,2024-06-18,2024-07-18,True,0.0
8,155.67,2024-11-17,,False,39.26
8,110.97,2024-06-12,2024-06-15,True,0.0
8,66.71,2024-01-05,,False,44.15
8,157.08,2024-04-02,,False,22.42
9,123.52,2024-05-28,,False,8.36
9,160.98,2024-05-04,2024-05-15,True,0.0
9,132.2,2024-01-07,,False,12.38
9,91.76,2024-09-23,2024-09-30,True,0.0
10,103.5,2024-01-18,2024-02-02,True,0.0
10,99.19,2024-09-24,2024-10-10,True,0.0
10,80.3,2024-05-09,2024-05-30,True,0.0
10,83.76,2024-11-24,2024-12-10,True,0.0
10,193.89,2024-05-03,2024-05-20,True,0.0
11,74.61,2024-07-08,,False,45.6
11,68.61,2024-05-26,,False,35.44
11,102.44,2024-07-30,2024-08-27,True,0.0
11,96.66,2024-11-14,,False,32.48
11,120.75,2024-10-05,2024-10-13,True,0.0
12,114.55,2024-10-01,2024-10-27,True,0.0
12,140.33,2024-01-22,2024-02-21,True,0.0
12,145.26,2024-04-14,,False,25.77
13,78.53,2024-03-16,,False,18.06
13,144.79,2024-06-16,2024-07-04,True,0.0
14,158.56,2024-08-30,,False,12.86
14,100.54,2024-11-12,,False,22.07
14,125.5,2024-02-10,,False,30.78
14,179.65,2024-11-25,2024-11-30,True,0.0
15,176.82,2024-11-26,,False,31.54
15,192.89,2024-03-23,2024-04-21,True,0.0
15,96.24,2024-10-11,,False,48.86
16,136.36,2024-01-29,2024-02-14,True,0.0
17,87.78,2024-03-30,2024-04-10,True,0.0
17,80.57,2024-07-15,,False,32.72
17,80.05,2024-07-04,,False,21.46
18,120.42,2023-12-30,,False,11.77
18,174.84,2024-06-03,2024-07-02,True,0.0
19,130.94,2024-07-20,2024-07-27,True,0.0
19,140.02,2024-06-09,,False,39.92
19,168.03,2024-02-13,,False,30.11
20,119.88,2024-11-28,,False,20.11
20,127.06,2024-10-17,2024-10-28,True,0.0
20,83.47,2024-04-30,,False,45.01
20,65.74,2024-08-11,2024-09-06,True,0.0
21,50.14,2024-01-30,,False,10.85
21,93.38,2024-03-18,,False,37.73
22,67.68,2024-10-03,2024-10-15,True,0.0
22,72.91,2024-11-14,2024-12-13,True,0.0
22,110.6,2024-02-04,,False,27.11
22,143.75,2024-05-14,2024-05-19,True,0.0
22,135.21,2024-11-14,,False,43.88
23,58.58,2024-01-17,,False,38.35
23,137.01,2024-11-24,2024-11-30,True,0.0
23,103.0,2024-02-07,,False,16.38
23,176.34,2024-01-01,,False,30.43
24,168.49,2024-07-29,2024-07-31,True,0.0
24,69.18,2024-07-29,2024-07-30,True,0.0
25,76.22,2024-10-30,,False,22.99
25,115.66,2024-09-27,2024-10-27,True,0.0
25,60.62,2024-06-29,2024-07-24,True,0.0
25,116.94,2023-12-24,,False,27.97
26,92.4,2024-08-22,,False,45.2
26,52.02,2024-09-09,2024-09-14,True,0.0
26,199.87,2024-05-10,2024-05-16,True,0.0
26,154.39,2024-06-07,2024-07-07,True,0.0
26,147.26,2024-09-07,2024-09-20,True,0.0
27,67.77,2024-03-07,,False,28.61
27,108.72,2024-02-24,,False,39.28
27,175.32,2024-07-19,,False,44.34
